company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,cleaned_text,cluster
PepsiCo,Data Science Analyst,4.0,"Overview:
Main Purpose:

The Data Science Lead will work in developing Machine Learning (ML) and Artificial Intelligence (AI) projects. Specific scope of this role is to develop ML solution in support of ML/AI projects using big analytics toolsets in a CI/CD environment. Analytics toolsets may include DS tools/Spark/Databricks, and other technologies offered by Microsoft Azure or open-source toolsets. This role will also help automate the end-to-end cycle with Azure Machine Learning Services and Pipelines.
You will be part of a collaborative interdisciplinary team around data, where you will be responsible of our continuous delivery of statistical/ML models. You will work closely with process owners, product owners and final business users. This will provide you the correct visibility and understanding of criticality of your developments.
Responsibilities:
Delivery of key Advanced Analytics/Data Science projects within time and budget, particularly around DevOps/MLOps and Machine Learning models in scope
Collaborate with data engineers and ML engineers to understand data and models and leverage various advanced analytics capabilities
Ensure on time and on budget delivery which satisfies project requirements, while adhering to enterprise architecture standards
Use big data technologies to help process data and build scaled data pipelines (batch to real time)
Automate the end-to-end ML lifecycle with Azure Machine Learning and Azure Pipelines
Setup cloud alerts, monitors, dashboards, and logging and troubleshoot machine learning infrastructure
Automate ML models deployments
Qualifications:
5-8 years of overall experience that includes at least 4+ years of hands-on work experience data science / Machine learning
Minimum 4+ year of SQL experience
Experience in DevOps and Machine Learning (ML) with hands-on experience with one or more cloud service providers (Azure preferred) is preferred
BE/BS in Computer Science, Math, Physics, or other technical fields.
Skills, Abilities, Knowledge:
Data Science – Hands on experience and strong knowledge implementing & productionizing machine learning models – supervised and unsupervised models. Deployment of models in am MLOps framework is required. Knowledge of Demand Forecast models is a plus.
Programming Skills – Hands-on experience in statistical programming languages like Python, R and database query languages like SQL
Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators is a plus
Cloud (Azure) – Experience in Databricks and ADF is required
Familiarity with Spark, Hive, Pig is an added advantage
Model deployment experience will be a plus
Experience with version control systems like GitHub and CI/CD tools
Experience is Exploratory data Analysis
Knowledge of ML Ops / DevOps and deploying ML models is required
Experience using MLFlow, Kubeflow etc. will be preferred
Experience executing and contributing to ML OPS automation infrastructure is good to have
Exceptional analytical and problem-solving skills
Experience working with Retail/CPG Syndicated Data sources, including IRI, Nielsen is a plus
Experience building solutions in the Commercial, Net revenue Management or Supply chain space is a plus
Differentiating Competencies Required
Ability to work with virtual teams (remote work locations); lead team of technical resources (employees and contractors) based in multiple locations across geographies
Lead technical discussions, driving clarity of complex issues/requirements to build robust solutions
Strong communication skills to meet with business, understand sometimes ambiguous, needs, and translate to clear, aligned requirements
Able to work independently with business partners to understand requirements quickly, perform analysis and lead the design review sessions
Highly influential and having the ability to educate challenging stakeholders on the role of data and its purpose in the business
Places the user in the centre of decision making
Teams up and collaborates for speed, agility, and innovation
Experience with and embraces agile methodologies
Strong negotiation and decision-making skill
Experience managing and working with globally distributed teams",Hyderābād,"₹9,68,061",/yr (est.),10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,overview main purpose the data science lead will work developing machine learning and artificial intelligence projects specific scope this role develop solution support projects using big analytics toolsets environment analytics toolsets may include tools spark databricks and other technologies offered microsoft azure open source toolsets this role will also help automate the end end cycle with azure machine learning services and pipelines you will part collaborative interdisciplinary team around data where you will responsible our continuous delivery statistical models you will work closely with process owners product owners and final business users this will provide you the correct visibility and understanding criticality your developments responsibilities delivery key advanced analytics data science projects within time and budget particularly around devops mlops and machine learning models scope collaborate with data engineers and engineers understand data and models and leverage various advanced analytics capabilities ensure time and budget delivery which satisfies project requirements while adhering enterprise architecture standards use big data technologies help process data and build scaled data pipelines batch real time automate the end end lifecycle with azure machine learning and azure pipelines setup cloud alerts monitors dashboards and logging and troubleshoot machine learning infrastructure automate models deployments qualifications years overall experience that includes least years hands work experience data science machine learning minimum year sql experience experience devops and machine learning with hands experience with one more cloud service providers azure preferred preferred computer science math physics other technical fields skills abilities knowledge data science hands experience and strong knowledge implementing productionizing machine learning models supervised and unsupervised models deployment models mlops framework required knowledge demand forecast models plus programming skills hands experience statistical programming languages like python and database query languages like sql statistics good applied statistical skills including knowledge statistical tests distributions regression maximum likelihood estimators plus cloud azure experience databricks and adf required familiarity with spark hive pig added advantage model deployment experience will plus experience with version control systems like github and tools experience exploratory data analysis knowledge ops devops and deploying models required experience using mlflow kubeflow etc will preferred experience executing and contributing ops automation infrastructure good have exceptional analytical and problem solving skills experience working with retail cpg syndicated data sources including iri nielsen plus experience building solutions the commercial net revenue management supply chain space plus differentiating competencies required ability work with virtual teams remote work locations lead team technical resources employees and contractors based multiple locations across geographies lead technical discussions driving clarity complex issues requirements build robust solutions strong communication skills meet with business understand sometimes ambiguous needs and translate clear aligned requirements able work independently with business partners understand requirements quickly perform analysis and lead the design review sessions highly influential and having the ability educate challenging stakeholders the role data and its purpose the business places the user the centre decision making teams and collaborates for speed agility and innovation experience with and embraces agile methodologies strong negotiation and decision making skill experience managing and working with globally distributed teams,3
HiringGo,Azure Data Engineer,,"Develop code on Synapse environment using PySpark
Good knowledge and experience with SQLs
Work experience on ADFs & Azure Synapse environment
Work experience or a good understanding of Azure's overall environment
Azure certifications are preferred but not mandatory.
5 to 10 years of overall IT experience
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹1,300,000.00 per year
Benefits:
Paid time off
Schedule:
US shift
Supplemental pay types:
Performance bonus
Experience:
total work: 6 years (Required)
Ability to Commute:
Remote (Preferred)
Ability to Relocate:
Remote: Relocate before starting work (Preferred)
Speak with the employer
+91 9818128629",Remote,"₹11,50,000",/yr (est.),,,,,,,,,,,,develop code synapse environment using pyspark good knowledge and experience with sqls work experience adfs azure synapse environment work experience good understanding azure overall environment azure certifications are preferred but not mandatory years overall experience job type full time salary per year benefits paid time off schedule shift supplemental pay types performance bonus experience total work years required ability commute remote preferred ability relocate remote relocate before starting work preferred speak with the employer,2
Robas Research,Market Research Data Analyst,4.1,"KEY RESPONSIBILITIES:
Highly refined analytic and communication skills
The ability to manage multiple tasks simultaneously
Explaining the results to research executives
Helping research executives present the findings in a way that the client can understand and use.
CANDIDATE REQUIREMENTS:
0 – 2 years of relevant work experience.

Please email us at careers@ro-bas.com",Bengaluru,"₹5,09,902",/yr (est.),1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.4,3.9,3.9,4.0,key responsibilities highly refined analytic and communication skills the ability manage multiple tasks simultaneously explaining the results research executives helping research executives present the findings way that the client can understand and use candidate requirements years relevant work experience please email careers bas com,0
Naviga Inc.,Data Scientist,3.7,"Position Overview:
In an industry that is constantly on the move and evolving, the role of a Data Scientist requires a talented individual with strong technical acumen in modern cloud architectures and the ability to solve complex problems with team members to work on challenging Data Analytics and Optimization problems in the media domain. Data Scientist who has hands on from concept to delivery on statistical analysis, prescriptive and predictive analysis, and machine learning implementation projects.

Duties/Responsibilities:
Responsible for design, development and deployment of analytics solutions and automation tools for Optimization and predictive models
Ability to understand a business problem and the available data and identify what statistical or ML techniques can be applied to answer a business question.
Given a business problem, estimate solution feasibility and potential approaches based on available data. Understand what data is available, where, and how to pull it together. Work with partner teams
Quickly prototype solutions and build models to test feasibility of solution approach.
Build statistical models/ ML models, train and test them to and drive towards the optimal level of model performance.
Education, Experience, and Requirements
A degree in Computer Science, Math, Physics, Operations Research, or equivalent quantitative discipline with upto 4 years of experience.
Required Skills/Abilities:
Coding experience in Python/R, Statistics, SQL, Understanding of ML algorithms and usage to drive insights. A strong level of proficiency in Python is preferable.
Strong problem-solving skills with an emphasis on product development.
A strong grounding in applied statistical modelling and a strong grasp of statistical concepts. Must be comfortable in the world of numbers, models, and algorithms.
Willingness to dive deep and work on difficult and ambiguous problems with unknow outcomes.
Ability to partner and work efficiently with teams and business is critical.
Strong grasp of machine learning, data mining and data analytics techniques Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, and proper usage, etc.) and experience with applications.
Knowledge of optimisation (Linear programming) is an advantage.
Excellent written and verbal communication skills for coordinating across teams.

Physical & Other Requirements:
Hybrid work model, 3 days work from office.
Coding experience in Python/R, Statistics, SQL, Understanding of ML algorithms and usage to drive insights. A strong level of proficiency in Python is preferable.
Strong problem-solving skills with an emphasis on product development.
A strong grounding in applied statistical modelling and a strong grasp of statistical concepts. Must be comfortable in the world of numbers, models, and algorithms.
Willingness to dive deep and work on difficult and ambiguous problems with unknow outcomes.
Ability to partner and work efficiently with teams and business is critical.
Strong grasp of machine learning, data mining and data analytics techniques Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, and proper usage, etc.) and experience with applications.
Knowledge of optimisation (Linear programming) is an advantage.
Excellent written and verbal communication skills for coordinating across teams.
Physical & Other Requirements:
Hybrid work model, 3 days work from office.",Delhi,,,501 to 1000 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.4,3.7,3.6,3.6,3.9,position overview industry that constantly the move and evolving the role data scientist requires talented individual with strong technical acumen modern cloud architectures and the ability solve complex problems with team members work challenging data analytics and optimization problems the media domain data scientist who has hands from concept delivery statistical analysis prescriptive and predictive analysis and machine learning implementation projects duties responsibilities responsible for design development and deployment analytics solutions and automation tools for optimization and predictive models ability understand business problem and the available data and identify what statistical techniques can applied answer business question given business problem estimate solution feasibility and potential approaches based available data understand what data available where and how pull together work with partner teams quickly prototype solutions and build models test feasibility solution approach build statistical models models train and test them and drive towards the optimal level model performance education experience and requirements degree computer science math physics operations research equivalent quantitative discipline with upto years experience required skills abilities coding experience python statistics sql understanding algorithms and usage drive insights strong level proficiency python preferable strong problem solving skills with emphasis product development strong grounding applied statistical modelling and strong grasp statistical concepts must comfortable the world numbers models and algorithms willingness dive deep and work difficult and ambiguous problems with unknow outcomes ability partner and work efficiently with teams and business critical strong grasp machine learning data mining and data analytics techniques knowledge advanced statistical techniques and concepts regression properties distributions statistical tests and proper usage etc and experience with applications knowledge optimisation linear programming advantage excellent written and verbal communication skills for coordinating across teams physical other requirements hybrid work model days work from office coding experience python statistics sql understanding algorithms and usage drive insights strong level proficiency python preferable strong problem solving skills with emphasis product development strong grounding applied statistical modelling and strong grasp statistical concepts must comfortable the world numbers models and algorithms willingness dive deep and work difficult and ambiguous problems with unknow outcomes ability partner and work efficiently with teams and business critical strong grasp machine learning data mining and data analytics techniques knowledge advanced statistical techniques and concepts regression properties distributions statistical tests and proper usage etc and experience with applications knowledge optimisation linear programming advantage excellent written and verbal communication skills for coordinating across teams physical other requirements hybrid work model days work from office,3
Authenu,Statistician/Data Analyst,,"Another job opportunity that you can hop on at Authenu is for the post of a statistician, who can suggest appropriate statistical tests and methods and use them to solve research problems.

Functional Responsibilities/Job Description:
1. Determining suitable methods for data collection
2. Designing survey questionnaires with specific questions that can answer the problem statements
3. Choosing a relevant method for analyzing the collected data
4. Interpreting the analysis and reporting conclusions for better understanding

Required Qualifications:
1. Doctorate (PhD) in Statistics from a recognized university
2. Minimum 2 years of work experience as a data analyst
3. Good communication skills

If you embrace the defined qualifications, then you can apply for the relevant subject as SME through the Contact Us page or through email at help@authenu.com.",Bengaluru,,,,,,,,,,,,,,another job opportunity that you can hop authenu for the post statistician who can suggest appropriate statistical tests and methods and use them solve research problems functional responsibilities job description determining suitable methods for data collection designing survey questionnaires with specific questions that can answer the problem statements choosing relevant method for analyzing the collected data interpreting the analysis and reporting conclusions for better understanding required qualifications doctorate phd statistics from recognized university minimum years work experience data analyst good communication skills you embrace the defined qualifications then you can apply for the relevant subject sme through the contact page through email help authenu com,0
Vecmocon Technologies,Data Analytics Intern,,"Reviewing data and making recommendations based on findings
Identifying potential issues or problems with the company’s current business model
Communicating with internal clients to ensure that they have all of the data they need to make informed decisions
Creating reports and charts to help clients understand the data they are analyzing
Conducting research to gather data on specific topics or industries
Recommending changes to products or services based on customer feedback
Analyzing customer data to identify patterns or opportunities for improvement
Collecting, analyzing, and storing data in an organized fashion to ensure that it can be retrieved efficiently when needed
Job Type: Internship
Salary: ₹20,000.00 - ₹25,000.00 per month
Schedule:
Day shift
Application Question(s):
Are you comfortable with the work location? ( Okhla phase 1)
Have you done any Internship in data analytics before?
Speak with the employer
+91 9205666862",Delhi,"₹22,500",/mo (est.),,,,,,,,,,,,reviewing data and making recommendations based findings identifying potential issues problems with the company current business model communicating with internal clients ensure that they have all the data they need make informed decisions creating reports and charts help clients understand the data they are analyzing conducting research gather data specific topics industries recommending changes products services based customer feedback analyzing customer data identify patterns opportunities for improvement collecting analyzing and storing data organized fashion ensure that can retrieved efficiently when needed job type internship salary per month schedule day shift application question are you comfortable with the work location okhla phase have you done any internship data analytics before speak with the employer,0
Splore,Software Engineer - Data & Python,,"What is Splore?

Founded and funded by Temasek and Menyala, Splore is an early-stage venture focused on reimagining search and discovery for the new generation.

Splore is developing a next-generation AI-powered search engine for the digital generation. It caters to their diverse passions and interests—not just anime, comics, and gaming—but also knowledge and information to meet everyday demands, providing a personalised and engaging search experience through its proprietary Splore.ai platform. Crafted by experts in machine learning, distributed systems, and consumer applications, Splore.ai blends data from the web with ""walled garden"" information to provide diverse, tailored results.

Our mission is to be the knowledge and discovery engine for this generation, pioneering a new way of discovering and engaging with information in a world that is increasingly digital and diverse in its interests.

What is the role?

We are seeking a motivated Data & Python Engineer with proficiency in data engineering and Python. The ideal candidate will have a good understanding in languages like Java or Scala, hands-on experience with SQL, familiarity with NOSQL databases, and expertise in cloud platforms such as AWS, Azure, or GCP. Knowledge of big data technologies, including Beam, Spark, or Kafka, is crucial, and the ability to experiment and stay current with evolving trends is highly valued. This position offers a unique opportunity to gain hands-on experience in designing, developing and maintaining real-work data infrastructure.

Responsibilities

In this role, you’ll need to:
Collaborating closely with senior data engineers to design, construct, and uphold our data infrastructure.
Contributing to the development of data pipelines, ETL processes, and data warehouses.
Playing a key role in ensuring data accuracy, integrity, and security.
Monitoring data quality and promptly troubleshooting issues as they arise.
Assisting in the creation of data models and database schemas.
Engaging in collaboration with data scientists and analysts to guarantee that data is accessible and aligns with their requirements.
Generating and maintaining documentation for data infrastructure, encompassing data dictionaries and technical specifications.
Stay up-to-date with the latest advancements in data engineering and proposing enhancements to our processes and infrastructure.

Attributes

We are looking for a Data & Python Engineer with the following:
Dealing with Ambiguity - You thrive in navigating dynamic environments, making informed decisions amid evolving scenarios and comfortably embracing uncertainty
Collaborates - We're all about teamwork here. You will work closely with the Senior Engineers to develop and implement data infrastructure. Close cross functional collaboration with our Product, Design and Engineering teams will be key in building our gaming search engine!
Nimble Learning - We're looking for someone who thrives in a startup environment. You're not afraid to get your hands dirty and learn through experimentation when faced with fresh challenges. You're always on the pulse of the latest data engineering and immersing yourself in new technologies.
Functional/ Technical Skills - Strong foundations in data engineer and python, with prior experience in developing and implementing data infrastructure.
Strong foundation in programming language, preferably Python with additional skills in Java or Scala.
Hands-on experience with SQL and relational databases like PostgreSQL or MySQL.
Familiarity with NOSQL databases, adeptness in working with cloud platforms such as AWS, Azure, or GCP.
Knowledgeable in big data technologies including Beam, Spark, or Kafka.",Bengaluru,"₹7,03,562",/yr (est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.7,4.3,4.3,4.7,5.0,what splore founded and funded temasek and menyala splore early stage venture focused reimagining search and discovery for the new generation splore developing next generation powered search engine for the digital generation caters their diverse passions and interests not just anime comics and gaming but also knowledge and information meet everyday demands providing personalised and engaging search experience through its proprietary splore platform crafted experts machine learning distributed systems and consumer applications splore blends data from the web with walled garden information provide diverse tailored results our mission the knowledge and discovery engine for this generation pioneering new way discovering and engaging with information world that increasingly digital and diverse its interests what the role are seeking motivated data python engineer with proficiency data engineering and python the ideal candidate will have good understanding languages like java scala hands experience with sql familiarity with nosql databases and expertise cloud platforms such aws azure gcp knowledge big data technologies including beam spark kafka crucial and the ability experiment and stay current with evolving trends highly valued this position offers unique opportunity gain hands experience designing developing and maintaining real work data infrastructure responsibilities this role you need collaborating closely with senior data engineers design construct and uphold our data infrastructure contributing the development data pipelines etl processes and data warehouses playing key role ensuring data accuracy integrity and security monitoring data quality and promptly troubleshooting issues they arise assisting the creation data models and database schemas engaging collaboration with data scientists and analysts guarantee that data accessible and aligns with their requirements generating and maintaining documentation for data infrastructure encompassing data dictionaries and technical specifications stay date with the latest advancements data engineering and proposing enhancements our processes and infrastructure attributes are looking for data python engineer with the following dealing with ambiguity you thrive navigating dynamic environments making informed decisions amid evolving scenarios and comfortably embracing uncertainty collaborates all about teamwork here you will work closely with the senior engineers develop and implement data infrastructure close cross functional collaboration with our product design and engineering teams will key building our gaming search engine nimble learning looking for someone who thrives startup environment you not afraid get your hands dirty and learn through experimentation when faced with fresh challenges you always the pulse the latest data engineering and immersing yourself new technologies functional technical skills strong foundations data engineer and python with prior experience developing and implementing data infrastructure strong foundation programming language preferably python with additional skills java scala hands experience with sql and relational databases like postgresql mysql familiarity with nosql databases adeptness working with cloud platforms such aws azure gcp knowledgeable big data technologies including beam spark kafka,3
Manupatra Information Solutions Pvt. Ltd.,Data Entry Operator (DEO),4.0,"Job Description
Working on MS-Office; Excel, Word, PDF
OCR as and when required, depending upon which team one gets selected for.
Job Types: Full-time, Fresher
Salary: ₹10,000.00 - ₹15,000.00 per month
Benefits:
Leave encashment
Provident Fund
Schedule:
Day shift
Supplemental pay types:
Overtime pay
Application Question(s):
Please Note that for this position Typing speed of minimum 30 word per minute with 90% plus accuracy is mandatory to have. Apply only if you qualify the above mandate.
Please note: We only hire Graduates (Under Graduates or Final Year result awaited candidates are not eligible)
Education:
Bachelor's (Required)
Experience:
Microsoft Office: 1 year (Preferred)
total work: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Noida, Uttar Pradesh (Required)
Ability to Relocate:
Noida, Uttar Pradesh: Relocate before starting work (Required)
Work Location: In person",Noida,"₹12,500",/mo (est.),51 to 200 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.9,3.8,3.8,3.9,4.0,job description working office excel word pdf ocr and when required depending upon which team one gets selected for job types full time fresher salary per month benefits leave encashment provident fund schedule day shift supplemental pay types overtime pay application question please note that for this position typing speed minimum word per minute with plus accuracy mandatory have apply only you qualify the above mandate please note only hire graduates under graduates final year result awaited candidates are not eligible education bachelor required experience microsoft office year preferred total work year preferred language english preferred ability commute noida uttar pradesh required ability relocate noida uttar pradesh relocate before starting work required work location person,2
AVG LOGISTICS LIMITED,Data Analyst,,"A data analyst collects, cleans, and interprets data sets to answer a question or solve a problem.
Data Analyst responsibilities include:
Interpreting data, analyzing results using statistical techniques. Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality.
Job Type: Full-time
Salary: ₹15,000.00 - ₹20,000.00 per month
Experience:
total work: 2 years (Preferred)
Ability to Commute:
New Delhi, Delhi (Required)
Ability to Relocate:
New Delhi, Delhi: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 8527000376",Delhi,"₹17,500",/mo (est.),,,,,,,,,,,,data analyst collects cleans and interprets data sets answer question solve problem data analyst responsibilities include interpreting data analyzing results using statistical techniques developing and implementing data analyses data collection systems and other strategies that optimize statistical efficiency and quality job type full time salary per month experience total work years preferred ability commute new delhi delhi required ability relocate new delhi delhi relocate before starting work required work location person speak with the employer,2
High Fly Dream,Data Entry Executive,,"We’re looking for a data entry clerk who has exceptional detail orientation and analytical skills to join us in our Team

Responsibilities
Review data for errors or redundancies, make corrections, and check outputs
Research information needed for completing documents with minimal oversight
Analyze and use data from automated information aggregators to update database members on usage
Generate reports, store outputs in database, and perform backups
Interested candidates can share resume on whatsapp. +918463041286 / 8463041286

Requirements
Graduate & undergraduate both can apply
Strong understanding of fare rules, ticketing processes and travel regulations
Fresher & experience both can apply
Age limit 18 to 26 years
Must be flexible to work over weekends & in rotational shifts
Basic computer knowledge

Minimum 12th pass",Delhi,"₹29,500",/mo (est.),1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,,looking for data entry clerk who has exceptional detail orientation and analytical skills join our team responsibilities review data for errors redundancies make corrections and check outputs research information needed for completing documents with minimal oversight analyze and use data from automated information aggregators update database members usage generate reports store outputs database and perform backups interested candidates can share resume whatsapp requirements graduate undergraduate both can apply strong understanding fare rules ticketing processes and travel regulations fresher experience both can apply age limit years must flexible work over weekends rotational shifts basic computer knowledge minimum pass,0
GRS Fantasy park,Senior Data Analyst,,"Roles and Responsibilities-
Good knowledge in Javascript and Google App script
MIS Report generation & Database Management.
Analysis of monthly / weekly spends and revenue data , identifying the issues and the errors and work with the team to solve for them
Maintain reports & spreadsheets for historical data, manage email requests
Work closely with Operations for daily, weekly & monthly reports
Provide insights on existing data to internal/external stakeholders
Extracting of data into spreadsheet and preparing monthly consolidation using analytical and excellent spreadsheet skills
Preparation of monthly MIS (Daily / Weekly / Monthly / Quarterly / Annual)
Excellent decision-making abilities
Ability to oversee multiple projects at once
Proficiency in speaking with persons from various commercial and technology backgrounds
Excellent practical knowledge of MIS tools, programmes, and ideas like ERP, CRM, ERP, etc.
Outstanding leadership and time management abilities
Collecting information about the technical requirements that each department must meet
Creating MIS documentation to facilitate efficient operations and simple system upkeep
Excellent Knowledge about different Excel Formulas, Knowledge about Macros, Knowledge of Google Sheets, Should know Pivot Tables.
Should know advanced Vlook up
Job Types: Full-time, Permanent
Salary: ₹25,000.00 - ₹40,000.00 per month
Benefits:
Provident Fund
Schedule:
Day shift
Fixed shift
Weekend availability
Supplemental pay types:
Yearly bonus
Experience:
total work: 3 years (Preferred)
Ability to Commute:
Mysore, Karnataka (Required)
Ability to Relocate:
Mysore, Karnataka: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9164409996",India,"₹32,500",/mo (est.),,,,,,,,,,,,roles and responsibilities good knowledge javascript and google app script mis report generation database management analysis monthly weekly spends and revenue data identifying the issues and the errors and work with the team solve for them maintain reports spreadsheets for historical data manage email requests work closely with operations for daily weekly monthly reports provide insights existing data internal external stakeholders extracting data into spreadsheet and preparing monthly consolidation using analytical and excellent spreadsheet skills preparation monthly mis daily weekly monthly quarterly annual excellent decision making abilities ability oversee multiple projects once proficiency speaking with persons from various commercial and technology backgrounds excellent practical knowledge mis tools programmes and ideas like erp crm erp etc outstanding leadership and time management abilities collecting information about the technical requirements that each department must meet creating mis documentation facilitate efficient operations and simple system upkeep excellent knowledge about different excel formulas knowledge about macros knowledge google sheets should know pivot tables should know advanced vlook job types full time permanent salary per month benefits provident fund schedule day shift fixed shift weekend availability supplemental pay types yearly bonus experience total work years preferred ability commute mysore karnataka required ability relocate mysore karnataka relocate before starting work required work location person speak with the employer,2
